s,f,all,label
0.05888859,0.40642166,0.46531025,1.00000000
0.55588937,0.96387930,1.51976870,1.00000000
0.29040638,1.22968770,1.52009400,1.00000000
0.47787120,1.09749650,1.57536770,1.00000000
0.51636370,1.48090150,1.99726510,1.00000000
0.57080120,1.42508960,1.99589090,1.00000000
0.11568188,0.39619973,0.51188160,1.00000000
0.60481846,1.06262460,1.66744300,1.00000000
0.40894360,0.56100345,0.96994704,1.00000000
1.09946320,1.07399180,2.17345500,1.00000000
0.29325333,0.25044107,0.54369440,1.00000000
0.58964100,1.47535050,2.06499150,1.00000000
0.12917522,0.22251475,0.35168996,1.00000000
0.37598510,1.08699100,1.46297600,1.00000000
0.32903028,1.02988120,1.35891150,1.00000000
0.24955463,0.79161300,1.04116760,1.00000000
1.34477520,1.38466860,2.72944380,1.00000000
0.72124654,1.33411200,2.05535860,1.00000000
0.64493406,1.32325910,1.96819320,1.00000000
0.19335447,0.87803560,1.07139000,1.00000000
0.38284826,0.96386990,1.34671820,1.00000000
0.31017277,0.77713930,1.08731210,1.00000000
0.33692643,0.95806223,1.29498860,1.00000000
0.65167147,1.46779680,2.11946820,1.00000000
0.06721465,0.47636706,0.54358170,1.00000000
0.71985100,1.35138870,2.07123970,1.00000000
0.63521725,1.25786980,1.89308710,1.00000000
0.35889134,0.89887680,1.25776820,1.00000000
0.13590607,0.81279060,0.94869660,1.00000000
0.92223110,1.43836920,2.36060020,1.00000000
0.71651060,1.40014450,2.11665500,1.00000000
0.72245990,1.07413070,1.79659060,1.00000000
0.65264720,1.44670220,2.09934950,1.00000000
0.26139218,0.68070130,0.94209350,1.00000000
0.98303420,1.40625700,2.38929130,1.00000000
0.30399790,0.81502870,1.11902670,1.00000000
0.11323811,0.52073574,0.63397384,1.00000000
0.15081840,0.42816020,0.57897860,1.00000000
0.20622030,0.76275600,0.96897626,1.00000000
0.35669798,0.97526720,1.33196520,1.00000000
0.14358835,0.44775605,0.59134440,1.00000000
0.98659850,1.28823950,2.27483800,1.00000000
0.41094640,1.11790040,1.52884670,1.00000000
0.20208532,0.51270944,0.71479475,1.00000000
0.17849906,0.82494295,1.00344200,1.00000000
0.11254762,0.89104010,1.00358770,1.00000000
0.68803700,1.47421550,2.16225240,1.00000000
0.67416690,1.29374440,1.96791140,1.00000000
0.29640967,0.87310720,1.16951680,1.00000000
0.70284873,1.45787940,2.16072820,1.00000000
0.11234498,0.80607320,0.91841817,1.00000000
0.11365316,0.55302155,0.66667473,1.00000000
0.15918279,0.50994110,0.66912390,1.00000000
0.12191758,0.72954800,0.85146560,1.00000000
0.17317618,0.70808680,0.88126296,1.00000000
0.23371641,1.20198740,1.43570380,1.00000000
1.06366850,1.41958620,2.48325470,1.00000000
0.35995280,1.07290170,1.43285450,1.00000000
0.12868625,0.68649006,0.81517630,1.00000000
0.50811460,1.21980190,1.72791650,1.00000000
0.60249840,0.90563360,1.50813200,1.00000000
0.25257830,0.83617520,1.08875350,1.00000000
0.23739020,0.52974254,0.76713276,1.00000000
0.25581290,0.85157454,1.10738740,1.00000000
0.17999099,0.26556020,0.44555122,1.00000000
0.57645750,0.94087520,1.51733270,1.00000000
1.25985730,1.34968850,2.60954570,1.00000000
